id;onebank_id;lan_id;email;status;department;country;manager_id
1;Bahamas;Dynamic wireless;"uRu:p@9%XXvg.N#s";ACTIVE;Causeway Granite deposit;Timor-Leste;deposit
2;Ports;Home Handcrafted;"8E/(b@4DdG).:\r&j";INACTIVE;Borders Cambridgeshire Bedfordshire;Antigua and Barbuda;Wooden Argentina Intelligent
3;schemas withdrawal ADP;Serbian;"<5@]ti.Mb";ACTIVE;generating grow Jamahiriya;Macao;Incredible
4;stable invoice Creative;payment Salad indexing;")K@1[$<~=.,{^G[";INACTIVE;Avon auxiliary;Netherlands Antilles;array payment
5;matrix AGP;payment;":M:k-g@e(7v.aZ!G[";ACTIVE;Avon driver;Indonesia;Program
6;migration array;Assistant Loan Islands;"g6Q@M{K0|+.9J";LOCKED;programming Cove;Bolivia;bluetooth
7;Berkshire;high-level;")#@bHM[.S$";LOCKED;Iowa even-keeled calculate;Australia;redundant Program
8;feed;index Market;"2hG@SJmL9.F";ACTIVE;Oklahoma;Egypt;Dobra
9;supply-chains;Zloty Buckinghamshire Tuna;"4g8L@Rj<I.lDx";LOCKED;Springs Utah Quality-focused;Falkland Islands (Malvinas);parse Plastic Granite
10;Missouri killer Streamlined;Kiribati Brooks green;"{y@b.`j";ACTIVE;magenta;Venezuela;Mountains
